year_month,country,occupation,source_indeed_total_it_index,source_indeed_ai_job_share,source_so_ai_use_rate,source_so_avg_salary_usd,source_linkedin_ai_hiring_index,source_stanford_genai_demand_score,key_skills
2023-07,한국,Data Scientist/Analyst,100,5.1,68.8,79487,132.8,76.5,"Python, SQL, AWS"
2023-07,한국,Software Developer,100,7.75,75.9,101025,125.4,54.4,"Python, SQL, AWS"
2023-07,한국,Cloud/DevOps,100,6.34,79.0,66875,108.9,91.2,"Python, SQL, AWS"
2023-07,일본,AI·ML Engineer,100,11.31,77.3,112354,108.7,95.0,"Python, PyTorch, LLM, RAG"
2023-07,일본,Data Scientist/Analyst,100,6.18,69.3,116820,133.9,62.6,"Python, SQL, AWS"
2023-07,일본,Software Developer,100,3.88,70.7,94757,139.4,57.5,"Python, SQL, AWS"
2023-07,일본,Cloud/DevOps,100,5.98,72.8,42012,128.7,88.7,"Python, SQL, AWS"
2023-07,독일,AI·ML Engineer,100,5.2,66.4,102154,130.8,83.1,"Python, PyTorch, LLM, RAG"
2023-07,독일,Data Scientist/Analyst,100,8.82,82.8,111775,129.9,94.6,"Python, SQL, AWS"
2023-07,독일,Software Developer,100,6.02,74.3,112086,131.9,57.2,"Python, SQL, AWS"
2023-07,독일,Cloud/DevOps,100,5.56,65.2,45631,105.3,52.8,"Python, SQL, AWS"
2023-07,인도네시아,AI·ML Engineer,100,4.84,82.0,68036,129.2,71.6,"Python, PyTorch, LLM, RAG"
2023-07,인도네시아,Data Scientist/Analyst,100,9.99,60.1,112902,117.9,58.1,"Python, SQL, AWS"
2023-07,인도네시아,Software Developer,100,6.08,72.1,100160,134.0,55.3,"Python, SQL, AWS"
2023-07,인도네시아,Cloud/DevOps,100,9.69,84.8,115984,100.7,88.0,"Python, SQL, AWS"
2023-07,베트남,AI·ML Engineer,100,9.93,60.3,43271,122.2,57.2,"Python, PyTorch, LLM, RAG"
2023-07,베트남,Data Scientist/Analyst,100,7.14,61.7,69051,105.4,58.8,"Python, SQL, AWS"
2023-07,베트남,Software Developer,100,11.57,60.3,51877,129.9,76.4,"Python, SQL, AWS"
2023-07,베트남,Cloud/DevOps,100,11.97,84.1,53030,123.8,83.7,"Python, SQL, AWS"
2023-08,미국,AI·ML Engineer,100,4.52,84.4,90888,136.6,73.0,"Python, PyTorch, LLM, RAG"
2023-08,미국,Data Scientist/Analyst,100,6.0,82.6,125911,109.4,93.8,"Python, SQL, AWS"
2023-08,미국,Software Developer,100,9.45,82.7,76996,107.5,79.4,"Python, SQL, AWS"
2023-08,미국,Cloud/DevOps,100,6.17,65.2,128018,109.2,51.5,"Python, SQL, AWS"
2023-08,한국,AI·ML Engineer,100,7.33,65.9,115759,111.1,67.4,"Python, PyTorch, LLM, RAG"
2023-08,한국,Data Scientist/Analyst,100,6.18,76.5,57199,111.3,82.7,"Python, SQL, AWS"
2023-08,한국,Software Developer,100,6.15,65.3,62628,121.9,68.8,"Python, SQL, AWS"
2023-08,한국,Cloud/DevOps,100,8.65,63.8,91253,101.2,58.8,"Python, SQL, AWS"
2023-08,일본,AI·ML Engineer,100,5.82,68.5,107158,116.5,86.5,"Python, PyTorch, LLM, RAG"
2023-08,일본,Data Scientist/Analyst,100,7.16,77.0,46396,127.1,82.7,"Python, SQL, AWS"
2023-08,일본,Software Developer,100,11.72,84.5,86880,131.0,63.4,"Python, SQL, AWS"
2023-08,일본,Cloud/DevOps,100,10.21,76.3,62872,135.5,63.7,"Python, SQL, AWS"
2023-08,독일,AI·ML Engineer,100,5.48,78.3,56366,115.4,68.5,"Python, PyTorch, LLM, RAG"
2023-08,독일,Data Scientist/Analyst,100,5.92,77.1,102910,122.5,62.8,"Python, SQL, AWS"
2023-08,독일,Software Developer,100,6.32,71.1,65648,112.9,84.9,"Python, SQL, AWS"
2023-08,독일,Cloud/DevOps,100,4.66,80.2,96688,105.3,61.7,"Python, SQL, AWS"
2023-08,인도네시아,AI·ML Engineer,100,10.11,71.3,96719,120.8,51.0,"Python, PyTorch, LLM, RAG"
2023-08,인도네시아,Data Scientist/Analyst,100,5.1,79.4,126695,119.5,89.2,"Python, SQL, AWS"
2023-08,인도네시아,Software Developer,100,7.64,73.1,100280,135.0,65.8,"Python, SQL, AWS"
2023-08,인도네시아,Cloud/DevOps,100,8.98,65.7,127710,118.7,83.8,"Python, SQL, AWS"
2023-08,베트남,AI·ML Engineer,100,7.39,67.1,121623,101.4,92.6,"Python, PyTorch, LLM, RAG"
2023-08,베트남,Data Scientist/Analyst,100,11.36,84.7,88881,101.2,80.0,"Python, SQL, AWS"
2023-08,베트남,Software Developer,100,8.06,71.3,126066,100.1,63.3,"Python, SQL, AWS"
2023-08,베트남,Cloud/DevOps,100,7.31,68.3,53560,121.7,85.9,"Python, SQL, AWS"
2023-09,미국,AI·ML Engineer,100,5.25,60.9,75206,116.5,88.7,"Python, PyTorch, LLM, RAG"
2023-09,미국,Data Scientist/Analyst,100,11.28,78.0,69165,108.6,84.8,"Python, SQL, AWS"
2023-09,미국,Software Developer,100,5.49,65.5,115833,100.1,90.3,"Python, SQL, AWS"
2023-09,미국,Cloud/DevOps,100,10.8,63.9,100848,110.4,52.0,"Python, SQL, AWS"
2023-09,한국,AI·ML Engineer,100,10.15,84.5,91479,121.7,68.3,"Python, PyTorch, LLM, RAG"
2023-09,한국,Data Scientist/Analyst,100,6.01,72.3,104884,125.7,89.7,"Python, SQL, AWS"
2023-09,한국,Software Developer,100,4.09,78.4,107716,125.2,62.0,"Python, SQL, AWS"
2023-09,한국,Cloud/DevOps,100,8.29,66.6,121141,113.6,75.7,"Python, SQL, AWS"
2023-09,일본,AI·ML Engineer,100,8.78,67.7,80275,113.2,59.2,"Python, PyTorch, LLM, RAG"
2023-09,일본,Data Scientist/Analyst,100,5.44,78.9,85919,134.9,93.7,"Python, SQL, AWS"
2023-09,일본,Software Developer,100,3.92,69.8,43494,115.0,68.9,"Python, SQL, AWS"
2023-09,일본,Cloud/DevOps,100,9.0,69.0,91356,128.2,94.7,"Python, SQL, AWS"
2023-09,독일,AI·ML Engineer,100,8.9,71.6,83525,101.3,92.7,"Python, PyTorch, LLM, RAG"
2023-09,독일,Data Scientist/Analyst,100,7.49,60.8,72140,124.4,85.4,"Python, SQL, AWS"
2023-09,독일,Software Developer,100,3.81,82.3,41109,108.3,61.7,"Python, SQL, AWS"
2023-09,독일,Cloud/DevOps,100,11.39,60.1,92694,114.9,67.1,"Python, SQL, AWS"
2023-09,인도네시아,AI·ML Engineer,100,7.99,77.7,81617,111.8,81.1,"Python, PyTorch, LLM, RAG"
2023-09,인도네시아,Data Scientist/Analyst,100,5.27,82.4,123436,128.1,56.0,"Python, SQL, AWS"
2023-09,인도네시아,Software Developer,100,4.26,79.2,61460,121.3,91.3,"Python, SQL, AWS"
2023-09,인도네시아,Cloud/DevOps,100,7.53,65.1,90041,106.3,52.7,"Python, SQL, AWS"
2023-09,베트남,AI·ML Engineer,100,11.07,69.6,51021,133.6,89.7,"Python, PyTorch, LLM, RAG"
2023-09,베트남,Data Scientist/Analyst,100,7.6,70.1,91940,120.8,52.8,"Python, SQL, AWS"
2023-09,베트남,Software Developer,100,5.16,70.1,84206,139.2,68.9,"Python, SQL, AWS"
2023-09,베트남,Cloud/DevOps,100,5.84,66.9,78277,109.7,59.0,"Python, SQL, AWS"
2023-10,미국,AI·ML Engineer,100,11.71,80.6,111081,102.1,65.8,"Python, PyTorch, LLM, RAG"
2023-10,미국,Data Scientist/Analyst,100,8.9,65.3,104054,129.4,85.4,"Python, SQL, AWS"
2023-10,미국,Software Developer,100,6.33,68.7,94153,105.7,79.4,"Python, SQL, AWS"
2023-10,미국,Cloud/DevOps,100,5.88,69.9,64965,111.2,81.1,"Python, SQL, AWS"
2023-10,한국,AI·ML Engineer,100,11.47,64.9,69135,126.4,91.1,"Python, PyTorch, LLM, RAG"
2023-10,한국,Data Scientist/Analyst,100,6.21,61.3,81532,119.4,91.6,"Python, SQL, AWS"
2023-10,한국,Software Developer,100,9.36,62.7,108909,133.9,60.5,"Python, SQL, AWS"
2023-10,한국,Cloud/DevOps,100,4.17,60.6,61580,130.4,93.8,"Python, SQL, AWS"
2023-10,일본,AI·ML Engineer,100,11.87,60.3,85234,127.2,90.2,"Python, PyTorch, LLM, RAG"
2023-10,일본,Data Scientist/Analyst,100,9.88,72.4,104049,106.5,50.2,"Python, SQL, AWS"
2023-10,일본,Software Developer,100,6.27,65.8,73107,118.1,71.8,"Python, SQL, AWS"
2023-10,일본,Cloud/DevOps,100,4.8,71.6,90990,114.2,70.7,"Python, SQL, AWS"
2023-10,독일,AI·ML Engineer,100,9.14,67.7,111682,124.4,67.7,"Python, PyTorch, LLM, RAG"
2023-10,독일,Data Scientist/Analyst,100,5.72,65.8,122446,101.0,58.9,"Python, SQL, AWS"
2023-10,독일,Software Developer,100,11.59,74.2,118784,112.6,83.3,"Python, SQL, AWS"
2023-10,독일,Cloud/DevOps,100,4.03,64.2,66317,128.5,83.0,"Python, SQL, AWS"
2023-10,인도네시아,AI·ML Engineer,100,10.46,66.1,68597,129.5,65.7,"Python, PyTorch, LLM, RAG"
2023-10,인도네시아,Data Scientist/Analyst,100,4.55,77.0,58761,103.8,74.0,"Python, SQL, AWS"
2023-10,인도네시아,Software Developer,100,10.86,73.6,43047,139.1,74.1,"Python, SQL, AWS"
2023-10,인도네시아,Cloud/DevOps,100,8.41,82.1,112300,125.0,90.5,"Python, SQL, AWS"
2023-10,베트남,AI·ML Engineer,100,3.59,78.7,125403,113.7,72.7,"Python, PyTorch, LLM, RAG"
2023-10,베트남,Data Scientist/Analyst,100,4.4,75.9,78446,130.1,70.9,"Python, SQL, AWS"
2023-10,베트남,Software Developer,100,8.71,67.1,90214,112.0,52.4,"Python, SQL, AWS"
2023-10,베트남,Cloud/DevOps,100,6.71,72.1,56692,113.2,51.6,"Python, SQL, AWS"
2023-11,미국,AI·ML Engineer,100,10.7,78.2,108943,131.4,50.4,"Python, PyTorch, LLM, RAG"
2023-11,미국,Data Scientist/Analyst,100,10.78,84.7,74853,131.3,59.1,"Python, SQL, AWS"
2023-11,미국,Software Developer,100,11.67,67.2,73614,132.9,66.9,"Python, SQL, AWS"
2023-11,미국,Cloud/DevOps,100,3.97,81.7,45331,105.2,94.9,"Python, SQL, AWS"
2023-11,한국,AI·ML Engineer,100,3.83,76.8,83547,103.5,66.6,"Python, PyTorch, LLM, RAG"
2023-11,한국,Data Scientist/Analyst,100,9.68,82.6,43497,134.9,79.2,"Python, SQL, AWS"
2023-11,한국,Software Developer,100,7.75,67.6,66084,124.8,93.1,"Python, SQL, AWS"
2023-11,한국,Cloud/DevOps,100,11.36,68.8,93720,130.6,77.6,"Python, SQL, AWS"
2023-11,일본,AI·ML Engineer,100,8.18,80.3,125082,129.2,53.3,"Python, PyTorch, LLM, RAG"
2023-11,일본,Data Scientist/Analyst,100,6.42,79.8,88339,125.6,73.3,"Python, SQL, AWS"
2023-11,일본,Software Developer,100,10.68,71.1,96636,118.3,80.3,"Python, SQL, AWS"
2023-11,일본,Cloud/DevOps,100,10.19,71.3,63231,112.7,71.5,"Python, SQL, AWS"
2023-11,독일,AI·ML Engineer,100,8.18,72.1,80366,133.4,51.3,"Python, PyTorch, LLM, RAG"
2023-11,독일,Data Scientist/Analyst,100,11.76,60.2,65688,127.5,50.3,"Python, SQL, AWS"
2023-11,독일,Software Developer,100,10.03,69.6,99409,113.4,76.2,"Python, SQL, AWS"
2023-11,독일,Cloud/DevOps,100,9.82,81.6,113863,139.1,58.4,"Python, SQL, AWS"
2023-11,인도네시아,AI·ML Engineer,100,9.01,62.4,115271,123.1,73.0,"Python, PyTorch, LLM, RAG"
